소속,직위,성명,본인과의 관계,재산 구분,재산의 종류,소재지 면적 등 권리의 명세,종전가액(천원),증가액(천원),감소액(천원),현재가액(천원),변동사유
국회,국회의원,강경숙,본인,채권,,사인간채권,"550,000",0,0,"550,000",
국회,국회의원,강경숙,본인,채무,금융채무,"신한은행 1,786(4,039 감소)","5,825",0,"4,039","1,786",
국회,국회의원,강경숙,총 계,채무,,,"2,415,937","637,463","470,913","2,582,487","증감액: 166,550천원 (가액변동: 776천원)"
국회,국회의원,강대식,본인,건물,오피스텔(전세( 임차)권),"서울특별시 강서구 가양동 가양글로벌퍼스트 대지 28.12㎡ 건물 2,630.30㎡","10,000",0,0,"10,000",변동없음
국회,국회의원,강대식,본인,건물,사무실(전세(임 차)권),대구광역시 동구 용계동 테바빌딩 3층 건물 247.56㎡,"30,000",0,0,"30,000",변동없음
국회,국회의원,강대식,본인,건물,아파트,대구광역시 동구 신서동 신서화성파크드림 건물 84.87㎡,"265,000",0,0,"265,000",변동없음
국회,국회의원,강대식,본인,건물,사무실(전세(임 차)권),대구광역시 군위군 군위읍 서부리 2층 건물 92.00㎡,"10,000",0,0,"10,000",변동없음
국회,국회의원,강대식,배우자,건물,아파트,대구광역시 동구 신서동 신서 풍경마을 건물 72.74㎡,"142,000",0,0,"142,000",변동없음
국회,국회의원,강대식,배우자,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,자동차,"2019년식 베뉴 배기량(1,598cc)","1,126","9,874",0,"11,000",가액변동
국회,국회의원,강대식,본인,예금,,"농협은행 265,951(105,979 증가), 롯데손해보험 30,145(2,911 증가), 산림조합중앙회 14, 새마을금고중앙회 39, 신한은행 79(1 증가), 아이엠뱅크 71,505(21,321 감소), 우체국 27,000(18,000 증가), 주식회사 카카오뱅크 10, 현대해상화재보험 316(316 증가)","289,173","255,685","149,799","395,059",급여 저축 등
국회,국회의원,강대식,배우자,예금,,"(주)카카오페이증권 1(1 증가), DB손해보험(주) 111(111 증가), 농협은행 212(212 증가), 삼성증권 17(17 증가), 새마을금고중앙회 10(10 증가), 신용협동조합중앙회 220(220 증가), 신한라이프생명보험 1,583(1,583 증가), 신한투자증권 8(8 증가), 아이엠뱅크 131(131 증가), 우리은행 68,139(7,127 증가), 우체국 14,781(7,070 증가), 주식회사 카카오뱅크 1,984(1,984 증가), 현대해상화재보험 2,669(422 증가)","70,970","74,256","55,360","89,866",급여 저축 등
국회,국회의원,강대식,본인,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,,"농협은행 251,275(78,381 증가)","172,894","78,381",0,"251,275",후원금 증가
국회,국회의원,강대식,본인,채권,,사인간채권,"30,000",0,0,"30,000",변동없음
국회,국회의원,강대식,배우자,채무,건물임대채무,대구광역시 동구 신서동 신서 풍경마을 임대보증금,"110,000",0,0,"110,000",
국회,국회의원,강대식,총 계,채무,,,"911,163","418,196","205,159","1,124,200","증감액: 213,037천원 (가액변동: 9,874천원)"
국회,국회의원,강득구,본인,건물,사무실(전세(임 차)권),경기도 안양시 만안구 안양동 PROJECT 240 TOWER 건물 104.65㎡,"10,000",0,0,"10,000",변동 없음
국회,국회의원,강득구,배우자,건물,아파트,경기도 안양시만안구 만안구 석수동 코오롱하늘채 건물 117.61㎡,"392,000",0,"3,000","389,000",가액 변동
국회,국회의원,강득구,장녀,건물,다세대주택(전 세(임차)권),서울특별시 용산구 용문동 정원프라임빌 건물 0.00㎡ (건물 44.70㎡ 감소),"143,000",0,"143,000",0,계약기간 만료
국회,국회의원,강득구,장녀,건물,다세대주택(전 세(임차)권),서울특별시 용산구 청파동1가 건물 29.44㎡ (건물 29.44㎡ 증가),0,"230,000",0,"230,000",신규 전세 임차
국회,국회의원,강득구,배우자,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,자동차,"2022년식 셀토스 1.6터보 배기량(1,600cc)","21,800",0,"6,000","15,800",가액 변동
국회,국회의원,강득구,본인,예금,,"(주)KB손해보험 3,253(3,253 증가), DB손해보험(주) 82,950(4,200 증가), 국민은행 3, 농협은행 2,786(597 증가), 삼성생명보험 1,026(1,026 증가), 새마을금고중앙회 12,172(3 증가), 신한은행 28,191(14,337 증가), 우리은행 41","107,006","23,656",240,"130,422",급여 소득 저축
국회,국회의원,강득구,배우자,예금,,"(주)KB손해보험 942(942 증가), DB생명보험(주) 0(11,200 감소), DB손해보험(주) 0(13,047 감소), 농협손해보험 8,606(1,111 증가), 농협중앙회 51,447(1,446 증가), 동양생명보험 20,000, 메리츠화재해상보험(보험)","766,485","390,294","328,819","827,960",
국회,국회의원,강득구,배우자,예금,,"0(11,092 감소), 미래에셋생명보험 6,864, 삼성생명보험 153,348, 새마을금고중앙회 104,718(22,839 증가), 수협은행 33,600(33,600 증가), 신한은행 145,889(108,376 증가), 에이비엘생명보험 10,000, 우리은행 133,645(122,513 증가), 우체국 10,176, 하나손해보험(주) 47,500(6,000 증가), 한국교직원공제회 94,277(200,013 감소), 한화생명보험주식회사 6,948","766,485","390,294","328,819","827,960",급여 소득 저축
국회,국회의원,강득구,장남,예금,,"(주)KB손해보험 1,360(1,360 증가), (주)KEB하나은행 2, 국민은행 0(906 감소), 케이뱅크 933(933 증가)",908,"2,293",906,"2,295",
